t sp li co sp.sd li.sd co.sd
1627 30.025 38.8 0.0440250957993404 3.67589165879239 5.33589681982278 0.00867338844419871
1637 30.525 38.925 0.0427005061678161 2.90876218276734 4.84311565325145 0.00925863665729628
1647 29.35 39.175 0.0465253792932699 3.06803202604218 5.21284163856125 0.00991891903388347
1657 30.15 38.975 0.0436501645429394 3.47555566485234 5.50285473698973 0.00784492022901518
1667 30.375 39.875 0.044321235526288 3.80746567572117 5.82297615331295 0.00901281023877222
1677 30.075 39.95 0.0450500283094128 3.31575493202238 5.23768396653839 0.00863762500709939
1687 30.175 39.75 0.0441992999902569 3.11232043040855 5.51803569657881 0.00688896135567146
1697 30.125 40.225 0.0451155292736869 3.27529603281354 5.10649410567388 0.00799742781673783
1707 30.45 39.825 0.0435792422060061 3.28125992061992 5.45793940641544 0.00700699562606642
1717 29.575 39.425 0.0456836771340218 3.12054811096072 5.44382736778605 0.00701011944171809
1727 29.925 39.95 0.0453924221000743 3.1976553910639 5.7465708838469 0.00861741619899214
1737 29.35 40.325 0.0476493589189991 2.76006317281846 5.3798651207952 0.00896802357574535
1747 29.925 39.975 0.045419284343368 2.91228608766554 4.86477395579955 0.00771512317558107
1757 30.2 40.1 0.0449390439696492 2.8483013381348 4.31930668700548 0.00926486221352443
1767 29.425 39.575 0.0472000645315619 3.24145820303938 4.40796191058047 0.0116122554628557
1777 29.2 39.75 0.0476003467834498 2.72876416096259 4.85560738496463 0.00962332945717615
1787 30.375 39.9 0.044068150432544 2.80738494980832 4.77063668276828 0.00831344905451808
1797 29.75 39.125 0.0454662077638337 3.10293492168384 4.17063913198334 0.0103390150461651
1807 29.65 38.6 0.0453113132113454 3.48292538403699 5.02710601358226 0.0113004849082764
1817 29.825 39.625 0.045193112200731 2.55089225214459 4.33641409225263 0.00754252630920851
1827 29.9 38.95 0.044183504711943 2.3837053681299 4.02524087509855 0.0073623711012394
1837 30.3 39.5 0.04349101071247 2.31162058815666 4.85692738155962 0.00690637235567225
1847 29.45 38.925 0.0455748101861156 2.93476072496899 5.88952786405994 0.0087024168797914
1857 28.925 38.825 0.0479605491060439 3.28467693451008 5.34879569479106 0.0130130620671397
1867 29.625 39.35 0.0452911259215987 2.55892104666731 5.86405827794877 0.00760735213850457
1877 30.225 38.75 0.0427639514265244 2.50627417821959 6.06270651247529 0.00694544004955525
1887 29.45 38.65 0.045244813811505 2.96950310960415 5.48447692852173 0.00813902293781326
1897 30.3 38.275 0.0427120950460096 2.87518115371304 5.56540366448993 0.0101684364585472
1907 29.65 38.6 0.044599072849228 2.89606275608445 5.32435141108454 0.00801334986286272
1917 29.525 39.15 0.0457362839824612 2.91756396453951 5.43752394630742 0.00913982287407228
1927 29.95 39.325 0.0448144483332346 3.29685164501389 5.66313992818064 0.00943092749119734
1937 29.9 38.85 0.0446942525091818 3.43287275974735 5.46574413729356 0.0104361671565385
1947 29.85 38.95 0.0446332774918613 2.77858108042807 5.00743037638657 0.00968103679352758
1957 29.275 38.725 0.0465094377423573 3.27372993576252 4.71760206363034 0.0111695866686352
1967 29.45 38.8 0.0455519069637185 2.98672275588358 5.02914582134061 0.00853650648950503
1977 29.425 38.175 0.044629826178955 2.96031443236382 5.28125616370449 0.00696695461497104
