t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
472 0.307250017194765 0.333826959242221 0.20285497446272 0.852676528153961 0.912239289110992 0.066071824917818 0.0660300249382974 0.0622181039348724 0.0690682649111835 0.0546482439431152 0.0357954760460007 0.027158914874198
482 0.3179344493222 0.346454405987047 0.199845601558343 0.846131901790234 0.914934030234944 0.0767611874280179 0.0680315596815254 0.0717508097344735 0.0561433004964264 0.0734232607858295 0.0405650278649516 0.0443609302355
492 0.32425645261569 0.346465410570851 0.195728874078839 0.876611088417208 0.931359516561816 0.0601590755812936 0.0727746244248466 0.0830207344775061 0.0465155648305057 0.0698264543262328 0.0408435421311525 0.0373989399099976
502 0.338325550388157 0.344303240240536 0.212653678526705 0.851420008783197 0.916059877423865 0.0719583443224144 0.0742543366193986 0.0751410036494724 0.0565186291124497 0.0749367991424708 0.0479549663735959 0.0399556634183877
512 0.326941720236499 0.357509250012047 0.224431569022792 0.85589388974258 0.920043641596531 0.0717177651703641 0.0680149450373303 0.073361789805544 0.053016164556756 0.080077653965468 0.0477280696253362 0.0449405260405001
522 0.352286909907246 0.366958615358366 0.234867962405218 0.867140657162435 0.929829283765146 0.0688026498719228 0.071038526573602 0.0943342453791822 0.0494968894052723 0.0727704142766343 0.0383152509213293 0.0454362727105293
532 0.341445609461795 0.359175452104181 0.223188634806985 0.887417935839912 0.938186448975037 0.0558197131196828 0.0709618141836074 0.0777918822402699 0.0544223821306332 0.0783398682317086 0.0454056057494214 0.0427369480174925
542 0.337494809271284 0.384912555001409 0.231926704205932 0.865170891102236 0.928610461849378 0.0695026643777535 0.0841745501528952 0.0767730354930234 0.0633965503051377 0.0668106710088834 0.0401931871210095 0.0363873346677937
552 0.325225836738209 0.384637775926414 0.229241115466586 0.854462167010968 0.921195000289155 0.0743268011357792 0.0895532568576802 0.0696120654039181 0.0573935627683904 0.0802441325537494 0.0455346792055346 0.045946100715042
562 0.346378520527091 0.379440058781781 0.232091803054466 0.864177025876394 0.929165018765026 0.0716026370193662 0.0809698895592261 0.0955480461777247 0.0619494565401677 0.0794966351415477 0.0416085437591811 0.0516841224238139
572 0.340787583653479 0.371102700893359 0.233103531659815 0.847651011967219 0.920262470014145 0.0802707116016338 0.0768235526797634 0.0719082360976926 0.0534919311760506 0.0731443585271856 0.041226261380182 0.0457280652657758
582 0.365645535000714 0.374981277584989 0.249668623484205 0.849823264641164 0.922685715898468 0.0818194248594866 0.0761730648964417 0.0876363690326864 0.0635149644792604 0.0988489442515331 0.0518210886985463 0.060676757225121
592 0.341235899209112 0.373859717108888 0.235700361122806 0.874973616036663 0.934170747310488 0.0657580430330772 0.0806666778977772 0.0722239904358651 0.0627508303942179 0.0916629665680452 0.0538318794308443 0.0509956475627259
602 0.350749763303412 0.385309783505987 0.239967178283098 0.864897173213019 0.93126238776482 0.0737384353044068 0.082255432731242 0.092857044228412 0.0605357366429568 0.0942613554135524 0.0484053572821595 0.0594112506363062
612 0.351093902806997 0.389529030602468 0.2398534972132 0.863160851263786 0.931803274802561 0.0751499223816321 0.0632949387077782 0.069419596340304 0.0586042454968658 0.0717991256503752 0.0396014166794055 0.0420362269290926
622 0.356576921191058 0.378366099450243 0.239081397705015 0.855645793596784 0.928272173970825 0.080279419270574 0.0767481783322756 0.0859167202010613 0.059553721906865 0.0859094801436963 0.0439627426566695 0.0549182597025946
632 0.339405566800179 0.366531073443103 0.21432950826306 0.885082263083974 0.940623743459884 0.0611266514686467 0.0858100863416114 0.0739668655293791 0.0513471299908914 0.087462650246624 0.0466642436685545 0.0514843442079484
